theta,xi,yi,xc,yc,xo,yo,xb,yb,xct,yct,xot,yot,energy
1.4137,0.0000,0.0000,0.1564,0.9877,0.3193,1.1037,1.0000,0.2000,-0.0176,1.2321,-0.0052,1.7319,8.9980
1.4147,0.0000,0.0000,0.1554,0.9878,0.3187,1.1033,1.0000,0.2000,-0.0177,1.2329,-0.0036,1.7327,8.9942
1.4157,0.0000,0.0000,0.1544,0.9880,0.3182,1.1028,1.0000,0.2000,-0.0178,1.2336,-0.0019,1.7334,8.9904
1.4167,0.0000,0.0000,0.1534,0.9882,0.3176,1.1024,1.0000,0.2000,-0.0179,1.2344,-0.0002,1.7341,8.9866
1.4177,0.0000,0.0000,0.1524,0.9883,0.3170,1.1020,1.0000,0.2000,-0.0180,1.2352,0.0015,1.7348,8.9828
1.4187,0.0000,0.0000,0.1515,0.9885,0.3164,1.1015,1.0000,0.2000,-0.0181,1.2359,0.0032,1.7355,8.9789
1.4197,0.0000,0.0000,0.1505,0.9886,0.3159,1.1011,1.0000,0.2000,-0.0182,1.2367,0.0049,1.7362,8.9750
1.4207,0.0000,0.0000,0.1495,0.9888,0.3153,1.1006,1.0000,0.2000,-0.0183,1.2374,0.0066,1.7368,8.9711
1.4217,0.0000,0.0000,0.1485,0.9889,0.3147,1.1002,1.0000,0.2000,-0.0184,1.2382,0.0083,1.7375,8.9672
1.4227,0.0000,0.0000,0.1475,0.9891,0.3141,1.0997,1.0000,0.2000,-0.0185,1.2389,0.0100,1.7381,8.9633
1.4237,0.0000,0.0000,0.1465,0.9892,0.3135,1.0993,1.0000,0.2000,-0.0186,1.2397,0.0117,1.7388,8.9593
1.4247,0.0000,0.0000,0.1455,0.9894,0.3129,1.0988,1.0000,0.2000,-0.0187,1.2404,0.0134,1.7394,8.9554
1.4257,0.0000,0.0000,0.1445,0.9895,0.3123,1.0984,1.0000,0.2000,-0.0188,1.2412,0.0151,1.7400,8.9514
1.4267,0.0000,0.0000,0.1435,0.9896,0.3117,1.0979,1.0000,0.2000,-0.0189,1.2419,0.0168,1.7406,8.9474
1.4277,0.0000,0.0000,0.1426,0.9898,0.3111,1.0975,1.0000,0.2000,-0.0189,1.2426,0.0185,1.7412,8.9434
1.4287,0.0000,0.0000,0.1416,0.9899,0.3105,1.0970,1.0000,0.2000,-0.0190,1.2433,0.0203,1.7418,8.9393
1.4297,0.0000,0.0000,0.1406,0.9901,0.3099,1.0965,1.0000,0.2000,-0.0191,1.2440,0.0220,1.7424,8.9352
1.4307,0.0000,0.0000,0.1396,0.9902,0.3093,1.0961,1.0000,0.2000,-0.0192,1.2448,0.0237,1.7429,8.9312
1.4317,0.0000,0.0000,0.1386,0.9903,0.3087,1.0956,1.0000,0.2000,-0.0193,1.2455,0.0254,1.7435,8.9271
1.4327,0.0000,0.0000,0.1376,0.9905,0.3081,1.0951,1.0000,0.2000,-0.0193,1.2462,0.0271,1.7440,8.9229
1.4337,0.0000,0.0000,0.1366,0.9906,0.3074,1.0946,1.0000,0.2000,-0.0194,1.2469,0.0288,1.7445,8.9188
1.4347,0.0000,0.0000,0.1356,0.9908,0.3068,1.0942,1.0000,0.2000,-0.0195,1.2476,0.0305,1.7451,8.9146
1.4357,0.0000,0.0000,0.1346,0.9909,0.3062,1.0937,1.0000,0.2000,-0.0195,1.2483,0.0323,1.7456,8.9105
1.4367,0.0000,0.0000,0.1336,0.9910,0.3056,1.0932,1.0000,0.2000,-0.0196,1.2489,0.0340,1.7461,8.9063
1.4377,0.0000,0.0000,0.1327,0.9912,0.3050,1.0927,1.0000,0.2000,-0.0197,1.2496,0.0357,1.7465,8.9021
1.4387,0.0000,0.0000,0.1317,0.9913,0.3043,1.0922,1.0000,0.2000,-0.0197,1.2503,0.0374,1.7470,8.8978
1.4397,0.0000,0.0000,0.1307,0.9914,0.3037,1.0917,1.0000,0.2000,-0.0198,1.2510,0.0392,1.7475,8.8936
1.4407,0.0000,0.0000,0.1297,0.9916,0.3031,1.0912,1.0000,0.2000,-0.0198,1.2516,0.0409,1.7479,8.8893
1.4417,0.0000,0.0000,0.1287,0.9917,0.3024,1.0907,1.0000,0.2000,-0.0199,1.2523,0.0426,1.7484,8.8850
1.4427,0.0000,0.0000,0.1277,0.9918,0.3018,1.0902,1.0000,0.2000,-0.0199,1.2530,0.0444,1.7488,8.8807
1.4437,0.0000,0.0000,0.1267,0.9919,0.3012,1.0897,1.0000,0.2000,-0.0200,1.2536,0.0461,1.7492,8.8764
1.4447,0.0000,0.0000,0.1257,0.9921,0.3005,1.0892,1.0000,0.2000,-0.0200,1.2543,0.0479,1.7497,8.8720
1.4457,0.0000,0.0000,0.1247,0.9922,0.2999,1.0887,1.0000,0.2000,-0.0201,1.2549,0.0496,1.7501,8.8677
1.4467,0.0000,0.0000,0.1237,0.9923,0.2992,1.0882,1.0000,0.2000,-0.0201,1.2556,0.0513,1.7504,8.8633
1.4477,0.0000,0.0000,0.1227,0.9924,0.2986,1.0877,1.0000,0.2000,-0.0202,1.2562,0.0531,1.7508,8.8589
1.4487,0.0000,0.0000,0.1217,0.9926,0.2979,1.0872,1.0000,0.2000,-0.0202,1.2569,0.0548,1.7512,8.8545
1.4497,0.0000,0.0000,0.1208,0.9927,0.2973,1.0867,1.0000,0.2000,-0.0202,1.2575,0.0566,1.7516,8.8500
1.4507,0.0000,0.0000,0.1198,0.9928,0.2966,1.0862,1.0000,0.2000,-0.0203,1.2581,0.0583,1.7519,8.8456
1.4517,0.0000,0.0000,0.1188,0.9929,0.2960,1.0856,1.0000,0.2000,-0.0203,1.2587,0.0601,1.7522,8.8411
1.4527,0.0000,0.0000,0.1178,0.9930,0.2953,1.0851,1.0000,0.2000,-0.0203,1.2594,0.0618,1.7526,8.8366
1.4537,0.0000,0.0000,0.1168,0.9932,0.2947,1.0846,1.0000,0.2000,-0.0204,1.2600,0.0636,1.7529,8.8321
1.4547,0.0000,0.0000,0.1158,0.9933,0.2940,1.0841,1.0000,0.2000,-0.0204,1.2606,0.0654,1.7532,8.8276
1.4557,0.0000,0.0000,0.1148,0.9934,0.2933,1.0835,1.0000,0.2000,-0.0204,1.2612,0.0671,1.7535,8.8230
1.4567,0.0000,0.0000,0.1138,0.9935,0.2927,1.0830,1.0000,0.2000,-0.0204,1.2618,0.0689,1.7538,8.8185
1.4577,0.0000,0.0000,0.1128,0.9936,0.2920,1.0825,1.0000,0.2000,-0.0205,1.2624,0.0707,1.7540,8.8139
1.4587,0.0000,0.0000,0.1118,0.9937,0.2913,1.0819,1.0000,0.2000,-0.0205,1.2630,0.0724,1.7543,8.8093
1.4597,0.0000,0.0000,0.1108,0.9938,0.2906,1.0814,1.0000,0.2000,-0.0205,1.2636,0.0742,1.7545,8.8047
1.4607,0.0000,0.0000,0.1098,0.9940,0.2900,1.0808,1.0000,0.2000,-0.0205,1.2642,0.0760,1.7548,8.8000
1.4617,0.0000,0.0000,0.1088,0.9941,0.2893,1.0803,1.0000,0.2000,-0.0205,1.2648,0.0778,1.7550,8.7954
1.4627,0.0000,0.0000,0.1078,0.9942,0.2886,1.0797,1.0000,0.2000,-0.0205,1.2653,0.0795,1.7552,8.7907
1.4637,0.0000,0.0000,0.1068,0.9943,0.2879,1.0792,1.0000,0.2000,-0.0205,1.2659,0.0813,1.7554,8.7860
1.4647,0.0000,0.0000,0.1058,0.9944,0.2872,1.0786,1.0000,0.2000,-0.0205,1.2665,0.0831,1.7556,8.7813
1.4657,0.0000,0.0000,0.1049,0.9945,0.2866,1.0781,1.0000,0.2000,-0.0205,1.2670,0.0849,1.7558,8.7766
1.4667,0.0000,0.0000,0.1039,0.9946,0.2859,1.0775,1.0000,0.2000,-0.0205,1.2676,0.0867,1.7560,8.7718
1.4677,0.0000,0.0000,0.1029,0.9947,0.2852,1.0769,1.0000,0.2000,-0.0205,1.2682,0.0885,1.7561,8.7671
1.4687,0.0000,0.0000,0.1019,0.9948,0.2845,1.0764,1.0000,0.2000,-0.0205,1.2687,0.0903,1.7563,8.7623
1.4697,0.0000,0.0000,0.1009,0.9949,0.2838,1.0758,1.0000,0.2000,-0.0205,1.2693,0.0921,1.7564,8.7575
1.4707,0.0000,0.0000,0.0999,0.9950,0.2831,1.0752,1.0000,0.2000,-0.0205,1.2698,0.0939,1.7566,8.7527
1.4717,0.0000,0.0000,0.0989,0.9951,0.2824,1.0747,1.0000,0.2000,-0.0205,1.2703,0.0957,1.7567,8.7478
1.4727,0.0000,0.0000,0.0979,0.9952,0.2817,1.0741,1.0000,0.2000,-0.0204,1.2709,0.0975,1.7568,8.7430
1.4737,0.0000,0.0000,0.0969,0.9953,0.2810,1.0735,1.0000,0.2000,-0.0204,1.2714,0.0993,1.7569,8.7381
1.4747,0.0000,0.0000,0.0959,0.9954,0.2803,1.0729,1.0000,0.2000,-0.0204,1.2719,0.1011,1.7570,8.7332
1.4757,0.0000,0.0000,0.0949,0.9955,0.2796,1.0723,1.0000,0.2000,-0.0204,1.2725,0.1029,1.7570,8.7283
1.4767,0.0000,0.0000,0.0939,0.9956,0.2788,1.0717,1.0000,0.2000,-0.0203,1.2730,0.1048,1.7571,8.7234
1.4777,0.0000,0.0000,0.0929,0.9957,0.2781,1.0711,1.0000,0.2000,-0.0203,1.2735,0.1066,1.7571,8.7184
1.4787,0.0000,0.0000,0.0919,0.9958,0.2774,1.0706,1.0000,0.2000,-0.0203,1.2740,0.1084,1.7572,8.7135
1.4797,0.0000,0.0000,0.0909,0.9959,0.2767,1.0700,1.0000,0.2000,-0.0202,1.2745,0.1102,1.7572,8.7085
1.4807,0.0000,0.0000,0.0899,0.9959,0.2760,1.0694,1.0000,0.2000,-0.0202,1.2750,0.1121,1.7572,8.7035
1.4817,0.0000,0.0000,0.0889,0.9960,0.2752,1.0688,1.0000,0.2000,-0.0201,1.2755,0.1139,1.7572,8.6984
1.4827,0.0000,0.0000,0.0879,0.9961,0.2745,1.0681,1.0000,0.2000,-0.0201,1.2760,0.1157,1.7572,8.6934
1.4837,0.0000,0.0000,0.0869,0.9962,0.2738,1.0675,1.0000,0.2000,-0.0200,1.2765,0.1176,1.7572,8.6883
1.4847,0.0000,0.0000,0.0859,0.9963,0.2731,1.0669,1.0000,0.2000,-0.0200,1.2770,0.1194,1.7571,8.6833
1.4857,0.0000,0.0000,0.0849,0.9964,0.2723,1.0663,1.0000,0.2000,-0.0199,1.2775,0.1213,1.7571,8.6782
1.4867,0.0000,0.0000,0.0839,0.9965,0.2716,1.0657,1.0000,0.2000,-0.0199,1.2779,0.1231,1.7570,8.6731
1.4877,0.0000,0.0000,0.0830,0.9966,0.2708,1.0651,1.0000,0.2000,-0.0198,1.2784,0.1250,1.7570,8.6679
1.4887,0.0000,0.0000,0.0820,0.9966,0.2701,1.0644,1.0000,0.2000,-0.0198,1.2789,0.1269,1.7569,8.6628
1.4897,0.0000,0.0000,0.0810,0.9967,0.2694,1.0638,1.0000,0.2000,-0.0197,1.2793,0.1287,1.7568,8.6576
1.4907,0.0000,0.0000,0.0800,0.9968,0.2686,1.0632,1.0000,0.2000,-0.0196,1.2798,0.1306,1.7567,8.6524
1.4917,0.0000,0.0000,0.0790,0.9969,0.2679,1.0625,1.0000,0.2000,-0.0195,1.2802,0.1325,1.7566,8.6472
