theta,xi,yi,xc,yc,xo,yo,xb,yb,xct,yct,xot,yot,energy
1.5607,0.0000,0.0000,0.0100,0.9999,0.2098,1.0097,1.0000,0.2000,-0.0046,1.2996,0.2756,1.7137,8.2433
1.5617,0.0000,0.0000,0.0090,1.0000,0.2089,1.0088,1.0000,0.2000,-0.0041,1.2997,0.2780,1.7125,8.2368
1.5627,0.0000,0.0000,0.0080,1.0000,0.2079,1.0078,1.0000,0.2000,-0.0037,1.2997,0.2803,1.7112,8.2303
1.5637,0.0000,0.0000,0.0070,1.0000,0.2069,1.0069,1.0000,0.2000,-0.0033,1.2998,0.2827,1.7099,8.2237
1.5647,0.0000,0.0000,0.0060,1.0000,0.2060,1.0059,1.0000,0.2000,-0.0029,1.2998,0.2852,1.7086,8.2172
1.5657,0.0000,0.0000,0.0050,1.0000,0.2050,1.0050,1.0000,0.2000,-0.0024,1.2999,0.2876,1.7072,8.2106
1.5667,0.0000,0.0000,0.0040,1.0000,0.2040,1.0040,1.0000,0.2000,-0.0019,1.2999,0.2900,1.7058,8.2040
1.5677,0.0000,0.0000,0.0030,1.0000,0.2030,1.0030,1.0000,0.2000,-0.0015,1.3000,0.2925,1.7044,8.1975
1.5687,0.0000,0.0000,0.0020,1.0000,0.2020,1.0020,1.0000,0.2000,-0.0010,1.3000,0.2949,1.7030,8.1909
1.5697,0.0000,0.0000,0.0010,1.0000,0.2010,1.0010,1.0000,0.2000,-0.0005,1.3000,0.2974,1.7016,8.1842
1.5707,0.0000,0.0000,0.0000,1.0000,0.2000,1.0000,1.0000,0.2000,-0.0000,1.3000,0.2999,1.7001,8.1776
1.5717,0.0000,0.0000,-0.0010,1.0000,0.1990,0.9990,1.0000,0.2000,0.0005,1.3000,0.3024,1.6986,8.1710
1.5727,0.0000,0.0000,-0.0020,1.0000,0.1980,0.9980,1.0000,0.2000,0.0010,1.3000,0.3049,1.6970,8.1643
1.5737,0.0000,0.0000,-0.0030,1.0000,0.1970,0.9970,1.0000,0.2000,0.0015,1.3000,0.3075,1.6954,8.1576
1.5747,0.0000,0.0000,-0.0040,1.0000,0.1960,0.9960,1.0000,0.2000,0.0021,1.2999,0.3100,1.6938,8.1510
1.5757,0.0000,0.0000,-0.0050,1.0000,0.1950,0.9950,1.0000,0.2000,0.0026,1.2999,0.3126,1.6922,8.1443
1.5767,0.0000,0.0000,-0.0060,1.0000,0.1940,0.9939,1.0000,0.2000,0.0032,1.2998,0.3152,1.6905,8.1376
1.5777,0.0000,0.0000,-0.0070,1.0000,0.1929,0.9929,1.0000,0.2000,0.0037,1.2998,0.3178,1.6889,8.1309
1.5787,0.0000,0.0000,-0.0080,1.0000,0.1919,0.9918,1.0000,0.2000,0.0043,1.2997,0.3204,1.6871,8.1241
1.5797,0.0000,0.0000,-0.0090,1.0000,0.1908,0.9907,1.0000,0.2000,0.0049,1.2996,0.3230,1.6854,8.1174
1.5807,0.0000,0.0000,-0.0100,1.0000,0.1898,0.9896,1.0000,0.2000,0.0055,1.2996,0.3257,1.6836,8.1107
1.5817,0.0000,0.0000,-0.0110,0.9999,0.1887,0.9886,1.0000,0.2000,0.0061,1.2995,0.3284,1.6817,8.1040
1.5827,0.0000,0.0000,-0.0120,0.9999,0.1877,0.9875,1.0000,0.2000,0.0067,1.2993,0.3311,1.6799,8.0972
1.5837,0.0000,0.0000,-0.0130,0.9999,0.1866,0.9864,1.0000,0.2000,0.0074,1.2992,0.3338,1.6780,8.0905
1.5847,0.0000,0.0000,-0.0140,0.9999,0.1855,0.9852,1.0000,0.2000,0.0080,1.2991,0.3366,1.6760,8.0837
1.5857,0.0000,0.0000,-0.0150,0.9999,0.1844,0.9841,1.0000,0.2000,0.0087,1.2990,0.3393,1.6740,8.0770
1.5867,0.0000,0.0000,-0.0160,0.9999,0.1833,0.9830,1.0000,0.2000,0.0094,1.2988,0.3421,1.6720,8.0703
1.5877,0.0000,0.0000,-0.0170,0.9999,0.1822,0.9818,1.0000,0.2000,0.0101,1.2986,0.3449,1.6700,8.0635
1.5887,0.0000,0.0000,-0.0180,0.9998,0.1811,0.9807,1.0000,0.2000,0.0108,1.2985,0.3478,1.6679,8.0568
1.5897,0.0000,0.0000,-0.0190,0.9998,0.1800,0.9795,1.0000,0.2000,0.0115,1.2983,0.3506,1.6657,8.0501
1.5907,0.0000,0.0000,-0.0200,0.9998,0.1789,0.9783,1.0000,0.2000,0.0123,1.2981,0.3535,1.6635,8.0434
1.5917,0.0000,0.0000,-0.0210,0.9998,0.1778,0.9771,1.0000,0.2000,0.0130,1.2978,0.3564,1.6613,8.0368
1.5927,0.0000,0.0000,-0.0220,0.9998,0.1766,0.9759,1.0000,0.2000,0.0138,1.2976,0.3594,1.6590,8.0301
1.5937,0.0000,0.0000,-0.0230,0.9997,0.1755,0.9747,1.0000,0.2000,0.0146,1.2974,0.3623,1.6567,8.0235
1.5947,0.0000,0.0000,-0.0240,0.9997,0.1743,0.9735,1.0000,0.2000,0.0154,1.2971,0.3653,1.6543,8.0169
1.5957,0.0000,0.0000,-0.0250,0.9997,0.1732,0.9722,1.0000,0.2000,0.0163,1.2968,0.3683,1.6519,8.0103
1.5967,0.0000,0.0000,-0.0260,0.9997,0.1720,0.9710,1.0000,0.2000,0.0171,1.2966,0.3714,1.6494,8.0038
1.5977,0.0000,0.0000,-0.0270,0.9996,0.1708,0.9697,1.0000,0.2000,0.0180,1.2963,0.3745,1.6468,7.9973
1.5987,0.0000,0.0000,-0.0280,0.9996,0.1696,0.9684,1.0000,0.2000,0.0189,1.2959,0.3776,1.6442,7.9909
1.5997,0.0000,0.0000,-0.0289,0.9996,0.1684,0.9671,1.0000,0.2000,0.0198,1.2956,0.3808,1.6416,7.9845
1.6007,0.0000,0.0000,-0.0299,0.9996,0.1672,0.9658,1.0000,0.2000,0.0207,1.2952,0.3840,1.6388,7.9782
1.6017,0.0000,0.0000,-0.0309,0.9995,0.1659,0.9644,1.0000,0.2000,0.0217,1.2949,0.3872,1.6360,7.9720
1.6027,0.0000,0.0000,-0.0319,0.9995,0.1647,0.9631,1.0000,0.2000,0.0227,1.2945,0.3905,1.6332,7.9659
1.6037,0.0000,0.0000,-0.0329,0.9995,0.1635,0.9617,1.0000,0.2000,0.0237,1.2941,0.3938,1.6302,7.9599
1.6047,0.0000,0.0000,-0.0339,0.9994,0.1622,0.9603,1.0000,0.2000,0.0247,1.2936,0.3971,1.6272,7.9539
1.6057,0.0000,0.0000,-0.0349,0.9994,0.1609,0.9589,1.0000,0.2000,0.0258,1.2932,0.4005,1.6242,7.9482
1.6067,0.0000,0.0000,-0.0359,0.9994,0.1596,0.9575,1.0000,0.2000,0.0269,1.2927,0.4040,1.6210,7.9425
1.6077,0.0000,0.0000,-0.0369,0.9993,0.1583,0.9560,1.0000,0.2000,0.0280,1.2922,0.4075,1.6178,7.9371
1.6087,0.0000,0.0000,-0.0379,0.9993,0.1570,0.9545,1.0000,0.2000,0.0292,1.2917,0.4110,1.6144,7.9318
1.6097,0.0000,0.0000,-0.0389,0.9992,0.1556,0.9530,1.0000,0.2000,0.0304,1.2911,0.4147,1.6110,7.9268
1.6107,0.0000,0.0000,-0.0399,0.9992,0.1543,0.9515,1.0000,0.2000,0.0316,1.2905,0.4183,1.6075,7.9220
1.6117,0.0000,0.0000,-0.0409,0.9992,0.1529,0.9500,1.0000,0.2000,0.0329,1.2899,0.4220,1.6038,7.9176
1.6127,0.0000,0.0000,-0.0419,0.9991,0.1515,0.9484,1.0000,0.2000,0.0342,1.2893,0.4258,1.6001,7.9134
1.6137,0.0000,0.0000,-0.0429,0.9991,0.1501,0.9468,1.0000,0.2000,0.0355,1.2886,0.4297,1.5963,7.9097
1.6147,0.0000,0.0000,-0.0439,0.9990,0.1487,0.9451,1.0000,0.2000,0.0369,1.2879,0.4336,1.5923,7.9064
1.6157,0.0000,0.0000,-0.0449,0.9990,0.1472,0.9435,1.0000,0.2000,0.0384,1.2872,0.4376,1.5882,7.9037
1.6167,0.0000,0.0000,-0.0459,0.9989,0.1457,0.9417,1.0000,0.2000,0.0399,1.2864,0.4417,1.5839,7.9016
1.6177,0.0000,0.0000,-0.0469,0.9989,0.1442,0.9400,1.0000,0.2000,0.0414,1.2856,0.4459,1.5795,7.9002
1.6187,0.0000,0.0000,-0.0479,0.9989,0.1426,0.9382,1.0000,0.2000,0.0430,1.2847,0.4502,1.5749,7.8998
1.6197,0.0000,0.0000,-0.0489,0.9988,0.1411,0.9364,1.0000,0.2000,0.0447,1.2838,0.4546,1.5702,7.9003
1.6207,0.0000,0.0000,-0.0499,0.9988,0.1395,0.9345,1.0000,0.2000,0.0465,1.2828,0.4591,1.5652,7.9022
1.6217,0.0000,0.0000,-0.0509,0.9987,0.1378,0.9326,1.0000,0.2000,0.0483,1.2818,0.4637,1.5601,7.9055
1.6227,0.0000,0.0000,-0.0519,0.9987,0.1361,0.9306,1.0000,0.2000,0.0502,1.2807,0.4685,1.5547,7.9108
1.6237,0.0000,0.0000,-0.0529,0.9986,0.1344,0.9285,1.0000,0.2000,0.0522,1.2796,0.4734,1.5490,7.9184
1.6247,0.0000,0.0000,-0.0539,0.9985,0.1326,0.9264,1.0000,0.2000,0.0543,1.2783,0.4785,1.5431,7.9290
1.6257,0.0000,0.0000,-0.0549,0.9985,0.1307,0.9242,1.0000,0.2000,0.0566,1.2770,0.4838,1.5368,7.9433
1.6267,0.0000,0.0000,-0.0559,0.9984,0.1288,0.9218,1.0000,0.2000,0.0590,1.2756,0.4893,1.5302,7.9626
1.6277,0.0000,0.0000,-0.0569,0.9984,0.1268,0.9194,1.0000,0.2000,0.0615,1.2740,0.4950,1.5231,7.9884
1.6287,0.0000,0.0000,-0.0579,0.9983,0.1248,0.9169,1.0000,0.2000,0.0642,1.2723,0.5011,1.5156,8.0234
1.6297,0.0000,0.0000,-0.0589,0.9983,0.1226,0.9142,1.0000,0.2000,0.0671,1.2705,0.5075,1.5074,8.0711
1.6307,0.0000,0.0000,-0.0599,0.9982,0.1202,0.9114,1.0000,0.2000,0.0704,1.2684,0.5143,1.4985,8.1380
1.6317,0.0000,0.0000,-0.0609,0.9981,0.1177,0.9083,1.0000,0.2000,0.0739,1.2661,0.5217,1.4886,8.2348
1.6327,0.0000,0.0000,-0.0619,0.9981,0.1150,0.9049,1.0000,0.2000,0.0779,1.2635,0.5298,1.4776,8.3825
1.6337,0.0000,0.0000,-0.0629,0.9980,0.1120,0.9010,1.0000,0.2000,0.0825,1.2604,0.5389,1.4648,8.6271
1.6347,0.0000,0.0000,-0.0639,0.9980,0.1085,0.8966,1.0000,0.2000,0.0882,1.2565,0.5496,1.4492,9.0933
1.6357,0.0000,0.0000,-0.0649,0.9979,0.1040,0.8907,1.0000,0.2000,0.0958,1.2512,0.5634,1.4283,10.2854
